Timestamp,Public,Username,Last week,This week
2/2/2015 10:27:37,Public,mbland,"Hub:
- Worked with Aidan Feldman to begin integrating search:
  [#69](https://github.com/18F/hub/pull/69);
  [#80](https://github.com/18F/hub/pull/80);
  [#82](https://github.com/18F/hub/pull/82);
  [`jekyll_pages_api`#7](https://github.com/18F/jekyll_pages_api/pull/7)
- Minor tweaks, gem extraction:
  [#77](https://github.com/18F/hub/issues/77);
  [#78](https://github.com/18F/hub/pull/78);
  [#81](https://github.com/18F/hub/pull/81);
  [#83](https://github.com/18F/hub/pull/83);
  [#85](https://github.com/18F/hub/pull/85);
  [#87](https://github.com/18F/hub/pull/87);
  [team_hub#2](https://github.com/18F/team_hub/pull/2);
  [team_hub#3](https://github.com/18F/team_hub/pull/3)
- Public deployment:
  [#84](https://github.com/18F/hub/pull/84)

18F Testing Grouplet:
- Posted ""Unit Testing Perspectives"" doc as [the 18F Automated Testing
  Playbook](https://github.com/18F/automated-testing-playbook/); gathering
  feedback:
  [#1](https://github.com/18F/automated-testing-playbook/issues/1);
  [#2](https://github.com/18F/automated-testing-playbook/issues/2);
  [#3](https://github.com/18F/automated-testing-playbook/issues/3);
  [#4](https://git://github.com/18F/automated-testing-playbook/pull/4);
  [#6](https://git://github.com/18F/automated-testing-playbook/pull/6);
  [#7](https://git://github.com/18F/automated-testing-playbook/pull/7)
- Started recruiting for the 18F Testing Grouplet;
  recruited Alison Rowland as co-organizer
- Submitted Automated Testing Playbook blog post draft

Working Group Working Group (WG^2):
- Launched as co-organizer with Gray Brooks
- Started Working Groups/Grouplets blog draft
- Posted the [Grouplet Playbook](https://github.com/18F/grouplet-playbook)

Misc:
- Tons of chats with people about guild/working group/grouplet organization
  and automated testing
- `test_temp_file_helper`/CC0 license issue:
  [#5](https://github.com/18F/test_temp_file_helper/pull/5);
  [open-source-policy#31](https://github.com/18F/open-source-policy/issues/31)
- Two interviews
- Met with Hiring and Team Ops to touch base regarding Doc WG, Hub
- Documentation Working Group meeting
- Worked with Greg Boone on Dashboard/18f.gsa.gov deployment:
  [#181](https://github.com/18F/dashboard/pull/181);
  [18f.gsa.gov#489](https://github.com/18F/18f.gsa.gov/pull/489);
  [#185](https://github.com/18F/dashboard/pull/185);
  [#186](https://github.com/18F/dashboard/pull/186);
  [#187](https://github.com/18F/dashboard/pull/187);
  [#188](https://github.com/18F/dashboard/pull/188)","- Hub: two-day Fixit with Michelle Hertzfeld to knock out info architecture,
  documentation of how to develop/add data to the Hub, finish search
  integration
- More WG^2 and Testing Grouplet recruiting
- Finalize plans to kick off WG^2 with Gray Brooks
- Kick off 18F Testing Grouplet"
2/2/2015 15:58:04,Public,robert,"Coast Guard Intel Fellows Workshop
SSA 3-day workshop, huge success
SSA strategy
Wrote up SSA workshop blog post",
2/3/2015 14:10:16,Public,shawn,"- improved [Discovery API docs](https://discovery.18f.us/docs/)
- investigated alternative [Swagger](http://swagger.io) documentation options, hacked on some static [template](https://github.com/shawnbot/swagger-template) [tools](https://github.com/shawnbot/swagger-enhance)
- pushed out [aight v2](https://github.com/shawnbot/aight) for use in multiple 18F projects","- further investigating [static Swagger docs](https://github.com/shawnbot/stag)
- making a map of 18F employees for the site"
