Timestamp,Public,Username,Last week,This week
1/5/2015 10:14:26,Public,mbland,"- Hub:
  - Launched [public Hub](https://18f.gsa.gov/hub/)
    ([announcement](https://18f.gsa.gov/2014/12/23/hub/),
    [FedScoop article](http://fedscoop.com/18f-introduces-snippets-hub/))
  - Lots of little improvements in preparation:
    [#22](https://github.com/18F/hub/pull/22);
    [#23](https://github.com/18F/hub/pull/23);
    [#24](https://github.com/18F/hub/pull/24);
    [#25](https://github.com/18F/hub/pull/25)
  
  - [First non-18F pull from Isaac
     Truett](https://github.com/18F/hub/pull/26)                                
  - Tons of thanks to Aidan Feldman, Ori Hoffer, Michelle Hertzfeld, Kaitlin    
    Devine, and Eric Mill
- hash-joiner: [adding README examples and documenting
  API](https://github.com/18F/hash-joiner/pull/5)
- snippets: [prepared code for extraction into a                                
  gem](https://github.com/18F/hub/pull/29)
- Initial draft of Practice Dev Team vision
- Vacation from 12/24 until 01/05","- Grade 2014Q4 Objectives and Key Results; draft 2015Q1 OKRs
- Hub: scale up ownership and development; extract snippet gem;                 
  begin extracting other gems
- Study [USDS Playbook](https://playbook.cio.gov/) and
  [TechFAR Handbook](https://playbook.cio.gov/techfar/)                         
- Continue development of Practice Dev Team vision
- Continue development of ""Unit Testing Perspectives"" doc                       
- Draft Working Groups/Guild post"
1/5/2015 10:47:30,Public,gray,"EOY Catch-ups
HTTPS brainstorming 
Prototyping with Digital Analytics Program data 
API UX planning session 
1 API consult ","1 API consult 
Prep paid-tier of /Developer Program 
Coalesce HTTPS planning 
Support v0.1 of DAP prototype "
1/5/2015 12:21:54,Public,shawn,"- [refactored](https://github.com/18F/doi-extractives-data/pull/414) the DOI extractives map for accessibility and performance
- re-styled [hourglass](https://github.com/18F/hourglass/) using [Skeleton](http://getskeleton.com/)
- finished the first [hourglass](https://github.com/18F/hourglass/) sprint with front-end fixes and automated test scaffolding
- refactored the [.gov screenshots](https://github.com/shawnbot/dotgov-screenshots/tree/node-js) capture process using node and [PhantomJS](http://phantomjs.org/), eliminating the external url2png dependency",
1/5/2015 20:18:49,Public,eric,"Worked on getting Sendak set up on my computer and in my head. Helped rewrite some documentation for it.


Miscellaneous FOIA tasks, including finishing up the long overdue replies to FOIA officers we emailed in November.
","

Figuring out what what HTTPS resources and advice we can offer the rest of the federal government.

FOIA team planning and post-holiday catchup and refocusing."
1/7/2015 9:02:53,Public,jackie,"#### 18F Training Fellows
* Outlined staffing needs
* Drafted numbers for billing
* Drafted numbers for cost recoverability

#### Code of Conduct meeting to discuss next steps 

#### Misc
* Setup meeting for 508 Training Day Discussion
* Had discussion about overlap between Midas skills and hub skills. 
  * Considered ways merging
  * Set up meeting w/ Mike to discuss

",
